title,genre,description
Inception,Sci-Fi,A mind-bending thriller about dreams
Interstellar,Sci-Fi,Space exploration and time relativity
The Matrix,Sci-Fi,A hacker discovers reality is a simulation
Titanic,Romance,A tragic love story on a ship
The Notebook,Romance,A heartfelt love story
Avengers,Action,Superheroes save the world
John Wick,Action,An assassin seeks revenge
The Conjuring,Horror,A terrifying haunted house story
Insidious,Horror,A family faces supernatural forces
Gladiator,Action,A warrior fights in ancient Rome
